index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-02 00:00:00",15500,15500,15500,200281,0,w1,w1,"2015-07-02 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Limited,,NULL,,,NULL,,"07/03 00:00:00 PDT",NULL,0,"2015-07-04 00:00:00",1,1,0,0
"2015-07-03 00:00:00",38600,38600,31000,238881,0,w1,w1,"2015-07-03 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,60412,NULL,265808,Available,NULL,Low,,NULL,,,NULL,,"07/04 00:00:00 PDT",NULL,0,"2015-07-04 00:00:00",1,1,0,0
"2015-07-04 00:00:00",0,0,0,0,0,w2,w2,"2015-07-04 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/05 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",1,1,0,0
"2015-07-05 00:00:00",0,0,0,22501,0,w2,w2,"2015-07-05 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/06 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-06 00:00:00",60599,60599,7500,83100,0,w2,w2,"2015-07-06 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,60412,NULL,265808,Available,NULL,Available,,NULL,,,NULL,,"07/07 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-07 00:00:00",68700,68700,45900,151800,0,w2,w2,"2015-07-07 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,60412,NULL,265808,Limited,NULL,Available,,NULL,,,NULL,,"07/08 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-08 00:00:00",24102,24102,16602,175902,0,w2,w2,"2015-07-08 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,1,1,60412,NULL,265808,Available,NULL,Limited,,NULL,,,NULL,,"07/09 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-09 00:00:00",0,86038,0,0,0,w3,w2,"2015-07-09 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-11 00:00:00",1,0,0,0
"2015-07-10 00:00:00",7600,7600,7600,269540,0,w3,w2,"2015-07-10 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Out,,NULL,,,NULL,,"07/11 00:00:00 PDT",NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-11 00:00:00",45599,45599,45599,45599,0,w4,w3,"2015-07-11 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Limited,NULL,Available,,NULL,,,NULL,,"07/12 00:00:00 PDT",NULL,0,"2015-07-18 00:00:00",1,1,0,0
